detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,Total ProcessTime
HARRIS,FREAK,7,210,31,12,14.4884,41.9649,0.144232,56.45
HARRIS,FREAK,8,171,26,21,13.8642,42.5547,0.142207,56.42
HARRIS,FREAK,9,281,34,18,18.3446,40.6888,0.150232,59.03
,,,,,,,,,57.97
FAST,BRISK,0,1824,149,0,1.1056,336.802,0,337.91
FAST,BRISK,1,1832,152,97,0.958027,344.668,0.461323,345.63
FAST,BRISK,2,1810,150,104,0.960786,337.055,0.556471,338.02
FAST,BRISK,3,1817,155,101,1.01983,339.475,0.47326,340.49
FAST,BRISK,4,1793,149,98,1.22711,337.625,0.501341,338.85
FAST,BRISK,5,1796,149,85,0.970733,345.104,0.446632,346.07
FAST,BRISK,6,1788,156,107,0.975844,335.19,0.620407,336.17
FAST,BRISK,7,1695,150,107,0.975446,336.288,0.496379,337.26
FAST,BRISK,8,1749,138,100,1.01725,336.201,0.500376,337.22
FAST,BRISK,9,1770,143,100,0.983223,338.654,0.47921,339.64
,,,,,,,,,339.73
FAST,BRIEF,0,1824,149,0,0.955551,1.13014,0,2.09
FAST,BRIEF,1,1832,152,119,0.960933,0.751627,0.415578,1.71
FAST,BRIEF,2,1810,150,130,1.06581,0.679308,0.485635,1.75
FAST,BRIEF,3,1817,155,118,1.09755,0.903542,0.487561,2.00
FAST,BRIEF,4,1793,149,126,0.938251,0.711831,0.428106,1.65
FAST,BRIEF,5,1796,149,108,0.895817,0.766817,0.479257,1.66
FAST,BRIEF,6,1788,156,123,0.997327,0.812795,0.387104,1.81
FAST,BRIEF,7,1695,150,131,0.980409,0.71616,0.424796,1.70
FAST,BRIEF,8,1749,138,125,1.04424,0.712274,0.421114,1.76
FAST,BRIEF,9,1770,143,119,0.944133,0.754719,0.407787,1.70
,,,,,,,,,1.78
FAST,ORB,0,1824,149,0,0.995435,1.09112,0,2.09
FAST,ORB,1,1832,152,118,0.993477,1.07006,0.515823,2.06
FAST,ORB,2,1810,150,123,0.962347,1.12237,0.481318,2.08
FAST,ORB,3,1817,155,112,0.967622,1.01873,0.454889,1.99
FAST,ORB,4,1793,149,126,0.986912,1.00867,0.48131,2.00
FAST,ORB,5,1796,149,106,0.970592,1.00892,0.44687,1.98
FAST,ORB,6,1788,156,122,0.949223,1.06602,0.46227,2.02
FAST,ORB,7,1695,150,122,0.938347,1.02852,0.410521,1.97
FAST,ORB,8,1749,138,123,1.001,0.986994,0.452397,1.99
FAST,ORB,9,1770,143,119,0.942465,0.975408,0.372073,1.92
,,,,,,,,,2.01
FAST,FREAK,0,1824,149,0,1.00245,47.8429,0,48.85
FAST,FREAK,1,1832,152,98,0.964386,41.8258,0.450893,42.79
FAST,FREAK,2,1810,150,99,1.19109,49.3325,0.433832,50.52
FAST,FREAK,3,1817,155,91,0.951685,41.7897,0.467046,42.74
FAST,FREAK,4,1793,149,98,0.972701,40.815,0.480481,41.79
FAST,FREAK,5,1796,149,85,0.974476,46.5207,0.463435,47.50
FAST,FREAK,6,1788,156,99,0.983671,40.5778,0.44747,41.56
FAST,FREAK,7,1695,150,102,0.950111,41.0041,0.500841,41.95
FAST,FREAK,8,1749,138,101,0.988636,41.974,0.468612,42.96
FAST,FREAK,9,1770,143,105,1.01184,47.9532,0.418069,48.97
,,,,,,,,,44.96
BRISK,BRISK,0,2757,264,0,386.261,343.36,0,729.62
BRISK,BRISK,1,2777,282,171,384.314,347.053,1.0777,731.37
BRISK,BRISK,2,2741,282,176,382.627,343.723,1.1249,726.35
BRISK,BRISK,3,2735,277,157,375.345,339.349,1.15936,714.69
BRISK,BRISK,4,2757,297,176,383.312,337.971,1.25354,721.28
BRISK,BRISK,5,2695,279,174,376.26,338.739,1.23294,715.00
BRISK,BRISK,6,2715,289,188,391.556,343.534,1.17207,735.09
BRISK,BRISK,7,2628,272,173,373.49,335.593,1.15689,709.08
BRISK,BRISK,8,2639,266,171,374.976,338.92,1.09932,713.90
BRISK,BRISK,9,2672,254,184,375.214,342.051,0.962188,717.27
,,,,,,,,,721.36
BRISK,BRIEF,0,2757,264,0,379.736,1.05076,0,380.79
BRISK,BRIEF,1,2777,282,178,379.848,1.24666,1.00609,381.09
BRISK,BRIEF,2,2741,282,205,375.509,1.12545,1.10345,376.63
BRISK,BRIEF,3,2735,277,185,378.658,1.13228,1.10178,379.79
BRISK,BRIEF,4,2757,297,179,376.34,1.13817,1.08014,377.48
BRISK,BRIEF,5,2695,279,183,377.287,1.1205,1.12225,378.41
BRISK,BRIEF,6,2715,289,195,378.378,1.12461,1.0967,379.50
BRISK,BRIEF,7,2628,272,207,385.629,1.09071,1.11183,386.72
BRISK,BRIEF,8,2639,266,189,376.745,1.08012,0.983144,377.83
BRISK,BRIEF,9,2672,254,183,377.481,1.30172,0.926515,378.78
,,,,,,,,,379.70
BRISK,ORB,0,2757,264,0,376.279,4.6322,0,380.91
BRISK,ORB,1,2777,282,162,378.024,4.59543,1.01835,382.62
BRISK,ORB,2,2741,282,175,378.797,4.74658,1.21727,383.54
BRISK,ORB,3,2735,277,158,373.913,4.81378,1.12231,378.73
BRISK,ORB,4,2757,297,167,378.185,4.90928,1.13215,383.09
BRISK,ORB,5,2695,279,160,374.888,4.59779,1.25537,379.49
BRISK,ORB,6,2715,289,182,377.106,4.80275,1.15538,381.91
BRISK,ORB,7,2628,272,167,378.094,4.80324,1.06457,382.90
BRISK,ORB,8,2639,266,171,380.457,4.65917,1.06875,385.12
BRISK,ORB,9,2672,254,172,382.669,4.75936,0.938283,387.43
,,,,,,,,,382.57
BRISK,FREAK,0,2757,264,0,378.499,42.1843,0,420.68
BRISK,FREAK,1,2777,282,160,378.3,48.882,0.951238,427.18
BRISK,FREAK,2,2741,282,177,384.994,47.0537,1.00906,432.05
BRISK,FREAK,3,2735,277,155,383.725,41.4997,1.0538,425.22
BRISK,FREAK,4,2757,297,173,378.086,49.5189,1.04007,427.60
BRISK,FREAK,5,2695,279,161,377.887,42.9194,1.06789,420.81
BRISK,FREAK,6,2715,289,183,381.59,41.9841,1.07875,423.57
BRISK,FREAK,7,2628,272,169,376.881,42.5422,1.0311,419.42
BRISK,FREAK,8,2639,266,178,381.542,42.4785,0.906276,424.02
BRISK,FREAK,9,2672,254,168,374.864,42.0311,0.907008,416.90
,,,,,,,,,423.75
ORB,BRISK,0,500,92,0,12.1689,334.62,0,346.79
ORB,BRISK,1,500,102,73,7.59666,338.749,0.270921,346.35
ORB,BRISK,2,500,106,74,8.40503,337.84,0.288143,346.25
ORB,BRISK,3,500,113,79,8.27725,341.602,0.329909,349.88
ORB,BRISK,4,500,109,85,8.54508,339.222,0.309289,347.77
ORB,BRISK,5,500,125,79,7.56441,334.728,0.346961,342.29
ORB,BRISK,6,500,130,92,7.79324,340.759,0.372387,348.55
ORB,BRISK,7,500,129,90,7.44685,345.739,0.340209,353.19
ORB,BRISK,8,500,127,88,7.88209,337.171,0.363526,345.05
ORB,BRISK,9,500,128,91,8.88349,340.925,0.368209,349.81
,,,,,,,,,347.59
ORB,BRIEF,0,500,92,0,9.06227,0.604271,0,9.67
ORB,BRIEF,1,500,102,49,7.63403,0.546628,0.264703,8.18
ORB,BRIEF,2,500,106,43,7.88904,0.539566,0.262042,8.43
ORB,BRIEF,3,500,113,45,10.4198,1.04025,0.31639,11.46
ORB,BRIEF,4,500,109,59,7.16496,0.539668,0.256542,7.70
ORB,BRIEF,5,500,125,53,10.2578,0.65062,0.377164,10.91
ORB,BRIEF,6,500,130,78,8.6543,1.17347,0.350885,9.83
ORB,BRIEF,7,500,129,68,11.2665,1.22543,0.385565,12.49
ORB,BRIEF,8,500,127,84,10.3462,0.649707,0.341623,11.00
ORB,BRIEF,9,500,128,66,7.57488,1.15412,0.410304,8.73
,,,,,,,,,9.84
ORB,ORB,0,500,92,0,7.50258,4.81653,0,12.32
ORB,ORB,1,500,102,67,8.21783,4.73273,0.307718,12.95
ORB,ORB,2,500,106,70,7.45855,5.1021,0.336839,12.56
ORB,ORB,3,500,113,72,7.69976,4.74989,0.320964,12.45
ORB,ORB,4,500,109,84,7.36538,5.13838,0.331573,12.50
ORB,ORB,5,500,125,91,7.35336,5.58942,0.490764,12.94
ORB,ORB,6,500,130,101,8.11582,4.82984,0.338951,12.95
ORB,ORB,7,500,129,92,7.79331,4.75427,0.39449,12.55
ORB,ORB,8,500,127,93,7.52747,4.95977,0.431966,12.49
ORB,ORB,9,500,128,93,7.56855,4.65846,0.322297,12.23
,,,,,,,,,12.59
ORB,FREAK,0,500,92,0,11.265,48.1707,0,59.44
ORB,FREAK,1,500,102,42,8.7362,40.4961,0.18148,49.23
ORB,FREAK,2,500,106,36,7.6358,40.1077,0.212474,47.74
ORB,FREAK,3,500,113,44,7.62283,39.6956,0.190866,47.32
ORB,FREAK,4,500,109,47,7.07094,39.9533,0.180534,47.02
ORB,FREAK,5,500,125,44,7.61889,47.3008,0.184325,54.92
ORB,FREAK,6,500,130,51,7.99979,43.8675,0.213365,51.87
ORB,FREAK,7,500,129,52,9.2715,46.4968,0.236314,55.77
ORB,FREAK,8,500,127,48,8.34205,40.6596,0.230006,49.00
ORB,FREAK,9,500,128,56,8.09941,41.6325,0.219444,49.73
,,,,,,,,,51.20
AKAZE,BRISK,0,1351,166,0,88.8696,345.472,0,434.34
AKAZE,BRISK,1,1327,157,137,68.4114,338.479,0.646324,406.89
AKAZE,BRISK,2,1311,161,125,72.7957,335.319,0.504534,408.11
AKAZE,BRISK,3,1351,155,129,74.7286,339.582,0.5244,414.31
AKAZE,BRISK,4,1360,163,129,75.1284,332.857,0.504893,407.99
AKAZE,BRISK,5,1347,164,131,74.3733,337.161,0.513374,411.53
AKAZE,BRISK,6,1363,173,132,73.3211,339.745,0.509205,413.07
AKAZE,BRISK,7,1331,175,142,71.6255,336.874,0.58147,408.50
AKAZE,BRISK,8,1357,177,146,79.5639,343.598,0.575065,423.16
AKAZE,BRISK,9,1331,179,144,72.8321,339.1,0.635232,411.93
,,,,,,,,,413.98
AKAZE,BRIEF,0,1351,166,0,90.855,1.05765,0,91.91
AKAZE,BRIEF,1,1327,157,141,75.2753,0.813123,0.453408,76.09
AKAZE,BRIEF,2,1311,161,134,81.1112,0.89463,0.460234,82.01
AKAZE,BRIEF,3,1351,155,131,86.5229,0.862695,0.502971,87.39
AKAZE,BRIEF,4,1360,163,130,78.0739,0.867719,0.463333,78.94
AKAZE,BRIEF,5,1347,164,134,78.9099,0.933575,0.463762,79.84
AKAZE,BRIEF,6,1363,173,146,82.4685,0.933839,0.474547,83.40
AKAZE,BRIEF,7,1331,175,150,74.2873,0.910904,0.498678,75.20
AKAZE,BRIEF,8,1357,177,148,72.7549,0.88711,0.50988,73.64
AKAZE,BRIEF,9,1331,179,152,85.9716,0.955018,0.559114,86.93
,,,,,,,,,81.53
AKAZE,ORB,0,1351,166,0,80.9599,3.24044,0,84.20
AKAZE,ORB,1,1327,157,131,79.2099,3.10207,0.479749,82.31
AKAZE,ORB,2,1311,161,129,68.428,4.68206,0.432303,73.11
AKAZE,ORB,3,1351,155,127,83.407,3.03925,0.497027,86.45
AKAZE,ORB,4,1360,163,117,74.2863,2.95236,0.453282,77.24
