detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs
FAST,BRIEF,0,1824,149,0,0.8375,0.5574,0
FAST,BRIEF,1,1832,152,119,0.8268,0.8771,0.2856
FAST,BRIEF,2,1810,150,130,0.8057,0.8441,0.2753
FAST,BRIEF,3,1817,155,118,0.7979,0.6062,0.2761
FAST,BRIEF,4,1793,149,126,0.7953,0.6322,0.2816
FAST,BRIEF,5,1796,149,108,0.7974,0.4756,0.2782
FAST,BRIEF,6,1788,156,123,0.8127,0.6396,0.2564
FAST,BRIEF,7,1695,150,131,0.7993,0.8042,0.2805
FAST,BRIEF,8,1749,138,125,0.802,0.6774,0.2798
FAST,BRIEF,9,1770,143,119,0.8334,0.617,0.2738

FAST,ORB,0,1824,149,0,0.8072,0.6008,0
FAST,ORB,1,1832,152,118,0.8686,0.729,0.2886
FAST,ORB,2,1810,150,123,0.8035,0.7133,0.2902
FAST,ORB,3,1817,155,112,0.7956,0.7357,0.2774
FAST,ORB,4,1793,149,126,0.8037,0.8102,0.2759
FAST,ORB,5,1796,149,106,0.8132,0.7075,2.5688
FAST,ORB,6,1788,156,122,0.8159,0.8125,0.2641
FAST,ORB,7,1695,150,122,0.7391,0.5675,0.2675
FAST,ORB,8,1749,138,123,1.1069,0.6039,0.2695
FAST,ORB,9,1770,143,119,0.803,0.6663,0.2632

FAST,FREAK,0,1824,149,0,0.8084,29.7884,0
FAST,FREAK,1,1832,152,98,0.9118,30.8767,0.2843
FAST,FREAK,2,1810,150,99,0.8767,30.0134,0.2987
FAST,FREAK,3,1817,155,91,0.8226,33.6938,0.318
FAST,FREAK,4,1793,149,98,0.7998,30.3097,0.2938
FAST,FREAK,5,1796,149,85,0.7965,30.1913,0.2974
FAST,FREAK,6,1788,156,99,0.8282,30.049,0.2892
FAST,FREAK,7,1695,150,102,0.8539,29.541,0.2885
FAST,FREAK,8,1749,138,101,0.8082,29.6652,0.2768
FAST,FREAK,9,1770,143,105,0.8035,29.3343,0.2495

BRISK,BRISK,0,2757,264,0,283.178,256.302,0
BRISK,BRISK,1,2777,282,171,293.394,262.743,0.4451
BRISK,BRISK,2,2741,282,176,275.057,259.52,0.5205
BRISK,BRISK,3,2735,277,157,290.156,253.939,0.4764
BRISK,BRISK,4,2757,297,176,281.541,265.522,0.4562
BRISK,BRISK,5,2695,279,174,289.106,251.194,0.4786
BRISK,BRISK,6,2715,289,188,278.23,264.976,0.4893
BRISK,BRISK,7,2628,272,173,277.86,256.705,0.4536
BRISK,BRISK,8,2639,266,171,282.537,261.857,0.4411
BRISK,BRISK,9,2672,254,184,279.917,254.031,0.4447

